Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-08-31,MULTI,4.95,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-01,MULTI,5.03,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-02,MULTI,4.96,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-03,MULTI,4.99,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-04,MULTI,5.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-05,MULTI,5.01,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-06,MULTI,4.99,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-07,MULTI,4.78,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-08,MULTI,4.86,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-09,MULTI,4.96,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-10,MULTI,5.21,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-11,MULTI,5.16,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-12,MULTI,5.12,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-13,MULTI,5.16,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-14,MULTI,4.87,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-15,MULTI,4.98,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-16,MULTI,4.76,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-17,MULTI,4.67,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-18,MULTI,4.83,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-19,MULTI,4.55,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-20,MULTI,4.44,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-21,MULTI,4.28,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-22,MULTI,3.95,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-23,MULTI,4.19,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-24,MULTI,4.17,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-25,MULTI,4.15,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-26,MULTI,4.1,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-27,MULTI,4.14,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-28,MULTI,4.15,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-29,MULTI,4.02,18639320,1,0,0.0,0.0,no unlock,0.0
2022-09-30,MULTI,4.14,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-01,MULTI,4.12,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-02,MULTI,4.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-03,MULTI,3.78,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-04,MULTI,3.82,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-05,MULTI,3.86,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-06,MULTI,3.78,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-07,MULTI,3.78,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-08,MULTI,3.75,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-09,MULTI,3.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-10,MULTI,3.87,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-11,MULTI,3.72,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-12,MULTI,3.62,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-13,MULTI,3.66,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-14,MULTI,3.54,18639320,1,0,0.0,0.0,no unlock,0.0
