Date,Symbol,Available Supply,Unlocked Supply,esGMX Rewards,Contributors,GMX:ETH Uniswap Pool,Marketing and Partnerships,Floor Price Fund,XVIX and Gambit migration
Nov 08 2027,GMX,13124596.77,13124596.77,1874596.77,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 05 2027,GMX,13123387.10,13123387.10,1873387.10,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 02 2027,GMX,13122177.42,13122177.42,1872177.42,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 30 2027,GMX,13120967.74,13120967.74,1870967.74,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 27 2027,GMX,13119758.06,13119758.06,1869758.06,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 24 2027,GMX,13118548.39,13118548.39,1868548.39,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 21 2027,GMX,13117338.71,13117338.71,1867338.71,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 18 2027,GMX,13116129.03,13116129.03,1866129.03,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 15 2027,GMX,13114919.35,13114919.35,1864919.35,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 12 2027,GMX,13113709.68,13113709.68,1863709.68,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 09 2027,GMX,13112500.00,13112500.00,1862500.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 06 2027,GMX,13111250.00,13111250.00,1861250.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Oct 03 2027,GMX,13110000.00,13110000.00,1860000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 30 2027,GMX,13108750.00,13108750.00,1858750.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 27 2027,GMX,13107500.00,13107500.00,1857500.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 24 2027,GMX,13106250.00,13106250.00,1856250.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 21 2027,GMX,13105000.00,13105000.00,1855000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 18 2027,GMX,13103750.00,13103750.00,1853750.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 15 2027,GMX,13102500.00,13102500.00,1852500.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 12 2027,GMX,13101250.00,13101250.00,1851250.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 09 2027,GMX,13100000.00,13100000.00,1850000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 06 2027,GMX,13098790.32,13098790.32,1848790.32,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 03 2027,GMX,13097580.65,13097580.65,1847580.65,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 31 2027,GMX,13096370.97,13096370.97,1846370.97,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 28 2027,GMX,13095161.29,13095161.29,1845161.29,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 25 2027,GMX,13093951.61,13093951.61,1843951.61,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 22 2027,GMX,13092741.94,13092741.94,1842741.94,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 19 2027,GMX,13091532.26,13091532.26,1841532.26,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 16 2027,GMX,13090322.58,13090322.58,1840322.58,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 13 2027,GMX,13089112.90,13089112.90,1839112.90,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 10 2027,GMX,13087903.23,13087903.23,1837903.23,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 07 2027,GMX,13086693.55,13086693.55,1836693.55,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 04 2027,GMX,13085483.87,13085483.87,1835483.87,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 01 2027,GMX,13084274.19,13084274.19,1834274.19,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 29 2027,GMX,13083064.52,13083064.52,1833064.52,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 26 2027,GMX,13081854.84,13081854.84,1831854.84,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 23 2027,GMX,13080645.16,13080645.16,1830645.16,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 19 2027,GMX,13079032.26,13079032.26,1829032.26,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 16 2027,GMX,13077822.58,13077822.58,1827822.58,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 13 2027,GMX,13076612.90,13076612.90,1826612.90,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 10 2027,GMX,13075403.23,13075403.23,1825403.23,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 07 2027,GMX,13074166.67,13074166.67,1824166.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 04 2027,GMX,13072916.67,13072916.67,1822916.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 01 2027,GMX,13071666.67,13071666.67,1821666.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 28 2027,GMX,13070416.67,13070416.67,1820416.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 25 2027,GMX,13069166.67,13069166.67,1819166.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 22 2027,GMX,13067916.67,13067916.67,1817916.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 19 2027,GMX,13066666.67,13066666.67,1816666.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 16 2027,GMX,13065416.67,13065416.67,1815416.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 13 2027,GMX,13064166.67,13064166.67,1814166.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 10 2027,GMX,13062916.67,13062916.67,1812916.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 07 2027,GMX,13061693.55,13061693.55,1811693.55,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 04 2027,GMX,13060483.87,13060483.87,1810483.87,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 01 2027,GMX,13059274.19,13059274.19,1809274.19,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
