Date,Symbol,Available Supply,Unlocked Supply,Liquidity Incentives,Team,Investors,Ecosystem Fund,Advisors,Liquidity Bootstrapping
Dec 31 2028,PENDLE,367214796.89,367214796.89,143383297.89,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 27 2028,PENDLE,367164392.53,367164392.53,143332893.53,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 23 2028,PENDLE,367113988.18,367113988.18,143282489.18,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 19 2028,PENDLE,367063583.83,367063583.83,143232084.83,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 15 2028,PENDLE,367013179.48,367013179.48,143181680.48,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 11 2028,PENDLE,366962775.13,366962775.13,143131276.13,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 07 2028,PENDLE,366912370.78,366912370.78,143080871.78,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 03 2028,PENDLE,366861966.42,366861966.42,143030467.42,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 29 2028,PENDLE,366811562.07,366811562.07,142980063.07,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 25 2028,PENDLE,366761157.72,366761157.72,142929658.72,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 21 2028,PENDLE,366710753.37,366710753.37,142879254.37,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 17 2028,PENDLE,366660349.02,366660349.02,142828850.02,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 13 2028,PENDLE,366609944.67,366609944.67,142778445.67,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 09 2028,PENDLE,366559540.31,366559540.31,142728041.31,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 05 2028,PENDLE,366509135.96,366509135.96,142677636.96,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 01 2028,PENDLE,366458731.61,366458731.61,142627232.61,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 29 2028,PENDLE,366420928.35,366420928.35,142589429.35,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 25 2028,PENDLE,366370524.00,366370524.00,142539025.00,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 21 2028,PENDLE,366320119.64,366320119.64,142488620.64,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 17 2028,PENDLE,366269715.29,366269715.29,142438216.29,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 13 2028,PENDLE,366219310.94,366219310.94,142387811.94,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 09 2028,PENDLE,366168906.59,366168906.59,142337407.59,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 05 2028,PENDLE,366118502.24,366118502.24,142287003.24,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 01 2028,PENDLE,366068097.89,366068097.89,142236598.89,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 27 2028,PENDLE,366017693.53,366017693.53,142186194.53,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 23 2028,PENDLE,365967289.18,365967289.18,142135790.18,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 19 2028,PENDLE,365916884.83,365916884.83,142085385.83,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 15 2028,PENDLE,365866480.48,365866480.48,142034981.48,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 11 2028,PENDLE,365816076.13,365816076.13,141984577.13,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 07 2028,PENDLE,365765671.78,365765671.78,141934172.78,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 03 2028,PENDLE,365715267.42,365715267.42,141883768.42,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
