Date,Symbol,Available Supply,Unlocked Supply,Community Issuance,Team and Advisors,Service Providers,Liquity AG Endowment,Investors,LUSD:ETH Uniswap LPs,Community Reserve
Jun 06 2033,LQTY,99992851.03,99992851.03,31992851.03,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 30 2033,LQTY,99992776.11,99992776.11,31992776.11,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 24 2033,LQTY,99992711.90,99992711.90,31992711.90,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 18 2033,LQTY,99992647.69,99992647.69,31992647.69,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 12 2033,LQTY,99992583.48,99992583.48,31992583.48,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 05 2033,LQTY,99992508.56,99992508.56,31992508.56,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 29 2033,LQTY,99992444.35,99992444.35,31992444.35,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 23 2033,LQTY,99992380.14,99992380.14,31992380.14,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 17 2033,LQTY,99992315.92,99992315.92,31992315.92,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 10 2033,LQTY,99992241.01,99992241.01,31992241.01,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 04 2033,LQTY,99992166.10,99992166.10,31992166.10,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 29 2033,LQTY,99992037.67,99992037.67,31992037.67,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 23 2033,LQTY,99991909.25,99991909.25,31991909.25,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 16 2033,LQTY,99991759.42,99991759.42,31991759.42,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 10 2033,LQTY,99991630.99,99991630.99,31991630.99,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 04 2033,LQTY,99991502.57,99991502.57,31991502.57,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 26 2033,LQTY,99991374.14,99991374.14,31991374.14,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
