Date,Symbol,Available Supply,Unlocked Supply,AGIX-ADA Utility,Campaign Supporters,SingularityNET Foundation,Founders,Reward Pool,Token Sale
Sep 29 2042,AGIX,1979744290.10,1979744290.10,979744290.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 18 2042,AGIX,1979435827.50,1979435827.50,979435827.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 06 2042,AGIX,1979435827.50,1979435827.50,979435827.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 26 2042,AGIX,1979122667.50,1979122667.50,979122667.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 15 2042,AGIX,1979122667.50,1979122667.50,979122667.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 04 2042,AGIX,1979122667.50,1979122667.50,979122667.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 24 2042,AGIX,1978804738.60,1978804738.60,978804738.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 12 2042,AGIX,1978804738.60,1978804738.60,978804738.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 01 2042,AGIX,1978804738.60,1978804738.60,978804738.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 20 2042,AGIX,1978481968.10,1978481968.10,978481968.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 09 2042,AGIX,1978481968.10,1978481968.10,978481968.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 28 2042,AGIX,1978481968.10,1978481968.10,978481968.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 17 2042,AGIX,1978154282.40,1978154282.40,978154282.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 06 2042,AGIX,1978154282.40,1978154282.40,978154282.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 25 2042,AGIX,1977821606.50,1977821606.50,977821606.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 14 2042,AGIX,1977821606.50,1977821606.50,977821606.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 02 2042,AGIX,1977821606.50,1977821606.50,977821606.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
