Date,Symbol,Price,Available Supply,Unlocked Supply,Mining Reserve (TBD),Simple Minting,Baseline Minting,Protocol Labs Team and Contributors,Filecoin Foundation,Protocol Labs,Fundraising 36 months,Fundraising 24 months,Fundraising 12 months,Fundraising 6 months
Dec 02 2047,FIL,0,1994738475.58,1694738475.58,300000000.00,324738475.58,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 01 2047,FIL,0,1994733455.04,1694733455.04,300000000.00,324733455.04,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 30 2047,FIL,0,1994728434.50,1694728434.50,300000000.00,324728434.50,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 30 2047,FIL,0,1994728434.50,1694728434.50,300000000.00,324728434.50,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 29 2047,FIL,0,1994723413.97,1694723413.97,300000000.00,324723413.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 28 2047,FIL,0,1994718393.43,1694718393.43,300000000.00,324718393.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 27 2047,FIL,0,1994713372.89,1694713372.89,300000000.00,324713372.89,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 27 2047,FIL,0,1994713372.89,1694713372.89,300000000.00,324713372.89,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 26 2047,FIL,0,1994708352.35,1694708352.35,300000000.00,324708352.35,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 25 2047,FIL,0,1994703331.81,1694703331.81,300000000.00,324703331.81,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 24 2047,FIL,0,1994698311.27,1694698311.27,300000000.00,324698311.27,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 24 2047,FIL,0,1994698311.27,1694698311.27,300000000.00,324698311.27,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 23 2047,FIL,0,1994693290.73,1694693290.73,300000000.00,324693290.73,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 22 2047,FIL,0,1994688270.20,1694688270.20,300000000.00,324688270.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 22 2047,FIL,0,1994688270.20,1694688270.20,300000000.00,324688270.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 21 2047,FIL,0,1994683249.66,1694683249.66,300000000.00,324683249.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 20 2047,FIL,0,1994678229.12,1694678229.12,300000000.00,324678229.12,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Nov 19 2047,FIL,0,1994673208.58,1694673208.58,300000000.00,324673208.58,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
